Date,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,1-Apr-20,2-Apr-20,3-Apr-20,4-Apr-20,5-Apr-20,6-Apr-20,7-Apr-20,8-Apr-20,9-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,1-May-20,2-May-20,3-May-20,4-May-20,5-May-20,6-May-20,7-May-20
Unidentified,79,117,100,96,90,90,94,94,63,77,77,77,11,11,10,10,15,17,18,18,16,22,32,42,43,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Cape,2,5,6,3,6,7,7,7,7,8,8,8,13,15,15,16,16,16,16,16,16,16,16,16,18,16,16,16,16,16,17,17,17,17,17,18,23,24,25,26,26,27
North West,6,6,6,8,8,9,9,9,11,11,11,11,15,15,18,19,19,22,22,23,24,24,24,24,25,24,24,25,25,28,28,28,29,29,31,35,35,36,35,35,37,40
Mpumalanga,9,10,11,11,12,12,13,13,18,18,18,18,21,20,20,20,21,22,22,22,22,23,25,23,23,24,23,23,24,23,23,26,24,31,36,35,40,46,53,57,57,59
Limpopo,6,11,12,11,14,14,16,16,18,19,19,19,21,22,24,23,23,23,24,25,26,26,26,27,27,27,27,27,29,30,31,31,31,31,32,34,36,37,39,40,40,41
Eastern Cape,5,10,12,12,12,15,17,21,25,31,32,32,45,61,68,69,88,104,174,199,220,246,270,293,310,345,377,417,480,488,535,588,616,630,647,691,732,774,814,838,849,929
Free State,49,68,72,72,74,76,84,84,85,87,89,89,88,93,94,94,96,96,98,97,98,100,100,100,105,106,106,106,111,111,110,111,113,113,116,118,121,122,125,128,130,134
KwaZulu- Natal,134,156,167,171,179,186,206,215,232,246,257,257,354,387,412,418,443,465,489,519,539,591,604,617,639,671,758,807,841,847,863,902,919,956,980,1006,1051,1076,1106,1142,1189,1204
Western Cape,229,271,310,324,325,326,353,374,433,454,462,462,495,515,541,546,587,617,643,657,675,717,836,868,940,1010,1079,1279,1413,1514,1608,1737,1870,2135,2342,2507,2700,3044,3362,3609,3760,3994
Gauteng,409,533,584,618,633,645,663,672,693,704,713,713,782,795,801,813,865,890,909,930,969,1018,1101,1148,1170,1199,1224,1252,1281,1304,1331,1353,1377,1408,1446,1507,1598,1624,1661,1697,1720,1804
